id,score1,score2,score3,final_score,school_name,school_encoded,cluster,xep_loai
2216,8.0,7.7,8.0,7.9,Trường THPT Gia Định,17.0,3,Giỏi
2217,8.9,8.6,8.6,8.7,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
2218,9.3,9.2,9.6,9.4,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
2219,9.3,8.9,8.8,9.0,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
2220,7.0,7.1,7.3,7.1,Trường THPT Phú Nhuận,9.0,2,Khá
2221,7.0,7.0,7.1,7.0,Trường THCS Bạch Đằng,4.0,2,Khá
2222,8.2,7.9,8.4,8.2,Trường THPT Nguyễn Thượng Hiền,19.0,3,Giỏi
2223,7.7,7.7,8.1,7.8,THPT Nguyễn Hữu Cầu,1.0,2,Khá
2224,8.0,8.3,8.1,8.1,Trường THCS Trần Văn Ơn,10.0,3,Giỏi
2225,7.8,7.0,7.6,7.5,Trường THPT Nguyễn Thượng Hiền,19.0,3,Giỏi
2226,5.6,4.4,5.4,5.1,THPT Nguyễn Hữu Cầu,1.0,1,Yếu
2227,8.1,8.5,8.2,8.3,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
2228,6.7,6.9,6.9,6.8,Trường THCS Trần Văn Ơn,10.0,2,Khá
2229,8.8,8.6,8.9,8.8,Trường THCS Đoàn Thị Điểm,0.0,2,Khá
2230,7.6,8.0,8.3,8.0,Trường THPT Mạc Đĩnh Chi,3.0,2,Khá
2231,6.0,6.2,5.4,5.9,Trường THCS Nguyễn Du,2.0,4,Trung bình
2232,8.2,8.0,8.4,8.2,Trường THCS Á Châu,6.0,2,Khá
2233,6.1,5.8,5.1,5.7,Trường THCS Nguyễn Du,2.0,4,Trung bình
2234,8.4,8.3,8.7,8.5,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
2235,6.2,5.3,6.2,5.9,Trường THCS Á Châu,6.0,4,Trung bình
2236,9.6,9.4,9.1,9.4,Trường THCS Colette,16.0,0,Xuất sắc
2237,9.8,9.7,10.0,9.8,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
2238,4.3,4.3,5.1,4.6,THPT Nguyễn Hữu Cầu,1.0,1,Yếu
2239,9.3,9.5,9.1,9.3,Trường THPT Gia Định,17.0,0,Xuất sắc
2240,5.9,5.6,5.9,5.8,Trường THPT Nguyễn Thị Minh Khai,15.0,4,Trung bình
2241,8.3,8.0,7.9,8.1,Trường THCS Colette,16.0,3,Giỏi
2242,7.3,7.6,8.0,7.6,Trường THCS Nguyễn Du,2.0,2,Khá
2243,7.8,7.3,8.1,7.7,Trường THPT Trần Phú,7.0,2,Khá
2244,8.0,8.1,8.1,8.1,Trường THPT Nguyễn Hữu Huân,13.0,3,Giỏi
2245,8.1,8.1,8.2,8.1,Trường THCS Nguyễn Hữu Thọ,14.0,3,Giỏi
2246,7.0,6.9,7.0,7.0,Trường THCS Nguyễn Du,2.0,2,Khá
2247,7.5,7.6,7.9,7.7,Trường THPT Nguyễn Thượng Hiền,19.0,3,Giỏi
2248,7.0,6.6,7.1,6.9,Trường THPT Phú Nhuận,9.0,2,Khá
2249,7.3,7.0,7.3,7.2,Trường THCS Bạch Đằng,4.0,2,Khá
2250,6.0,6.1,6.0,6.0,Trường THCS Trần Văn Ơn,10.0,4,Trung bình
2251,7.3,7.2,7.1,7.2,Trường THCS Colette,16.0,3,Giỏi
2252,8.2,8.2,8.2,8.2,Trường THCS Colette,16.0,3,Giỏi
2253,5.9,6.2,6.7,6.3,Trường THCS Việt Úc,8.0,4,Trung bình
2254,7.1,7.0,7.2,7.1,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
2255,7.3,7.3,7.1,7.2,Trường THPT Lê Quý Đôn,5.0,2,Khá
2256,6.1,6.1,6.3,6.2,Trường THCS Nguyễn Du,2.0,4,Trung bình
2257,5.0,3.0,4.3,4.1,Trường THCS Đoàn Thị Điểm,0.0,1,Yếu
2258,4.1,4.7,6.0,4.9,Trường THCS Nguyễn Du,2.0,1,Yếu
2259,9.0,9.1,9.6,9.2,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
2260,8.8,8.7,8.5,8.7,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
2261,8.4,8.1,8.0,8.2,Trường THPT Nguyễn Thượng Hiền,19.0,3,Giỏi
2262,8.2,8.0,8.4,8.2,Trường THPT Trần Phú,7.0,2,Khá
2263,4.9,5.5,5.1,5.2,THPT Nguyễn Hữu Cầu,1.0,1,Yếu
2264,8.1,8.1,8.4,8.2,Trường THCS Nguyễn Hữu Thọ,14.0,3,Giỏi
2265,9.0,9.0,9.2,9.1,Trường THPT Gia Định,17.0,0,Xuất sắc
2266,5.7,5.4,5.6,5.6,Trường THPT Mạc Đĩnh Chi,3.0,4,Trung bình
2267,7.6,8.0,7.3,7.6,Trường THPT Phú Nhuận,9.0,2,Khá
2268,5.4,5.9,5.6,5.6,Trường THCS Đoàn Thị Điểm,0.0,4,Trung bình
2269,8.7,9.0,8.9,8.9,Trường THPT Lê Quý Đôn,5.0,0,Xuất sắc
2270,8.9,8.6,9.1,8.9,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
2271,7.4,6.5,7.5,7.1,Trường THCS Trần Văn Ơn,10.0,2,Khá
2272,5.2,5.0,5.3,5.2,Trường THCS Bạch Đằng,4.0,1,Yếu
2273,8.2,8.1,8.4,8.2,Trường THCS Nguyễn Hữu Thọ,14.0,3,Giỏi
2274,5.9,6.0,5.7,5.9,Trường THCS Nguyễn Du,2.0,4,Trung bình
2275,8.1,7.4,7.5,7.7,Trường THCS Đoàn Thị Điểm,0.0,2,Khá
2276,8.1,8.0,8.1,8.1,Trường THCS Trần Văn Ơn,10.0,3,Giỏi
2277,6.7,5.8,5.5,6.0,Trường THCS Nguyễn Du,2.0,4,Trung bình
2278,8.0,8.4,8.8,8.4,Trường THPT Nguyễn Thị Minh Khai,15.0,3,Giỏi
2279,6.6,6.8,6.6,6.7,Trường THPT Bùi Thị Xuân,11.0,4,Trung bình
2280,7.6,7.8,7.5,7.6,Trường THPT Trần Phú,7.0,2,Khá
2281,9.7,9.6,9.9,9.7,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
2282,9.3,9.3,9.1,9.2,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
2283,6.9,6.6,7.1,6.9,Trường THPT Bùi Thị Xuân,11.0,2,Khá
2284,7.7,7.3,8.2,7.7,Trường THPT Nguyễn Thị Minh Khai,15.0,3,Giỏi
2285,9.3,9.0,8.9,9.1,Trường THCS Trần Văn Ơn,10.0,0,Xuất sắc
2286,8.7,8.7,8.8,8.7,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
2287,5.3,4.9,5.9,5.4,Trường THPT Mạc Đĩnh Chi,3.0,4,Trung bình
2288,8.2,8.1,8.4,8.2,Trường THPT Phú Nhuận,9.0,3,Giỏi
2289,7.7,7.9,7.3,7.6,Trường THPT Phú Nhuận,9.0,2,Khá
2290,7.3,6.5,7.1,7.0,Trường THCS Bạch Đằng,4.0,2,Khá
2291,9.3,9.1,9.4,9.3,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
2292,7.2,6.6,6.7,6.8,Trường THCS Á Châu,6.0,2,Khá
2293,9.1,9.2,9.1,9.1,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
2294,9.4,8.9,9.3,9.2,Trường THPT Bùi Thị Xuân,11.0,0,Xuất sắc
2295,8.1,8.3,8.3,8.2,Trường THCS Đoàn Thị Điểm,0.0,2,Khá
2296,7.0,6.9,7.2,7.0,Trường THCS Trần Văn Ơn,10.0,2,Khá
2297,6.2,6.6,5.5,6.1,Trường THPT Bùi Thị Xuân,11.0,4,Trung bình
2298,10.0,9.8,9.9,9.9,Trường THPT Gia Định,17.0,0,Xuất sắc
2299,3.9,4.6,4.0,4.2,Trường THPT Mạc Đĩnh Chi,3.0,1,Yếu
2300,8.7,8.5,9.0,8.7,Trường THPT Bùi Thị Xuân,11.0,0,Xuất sắc
2301,9.0,8.5,8.9,8.8,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
2302,7.4,7.9,7.9,7.7,Trường THPT Bùi Thị Xuân,11.0,3,Giỏi
2303,10.0,9.7,9.9,9.9,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
2304,9.8,9.7,9.8,9.8,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
2305,6.7,7.5,6.8,7.0,Trường THPT Phú Nhuận,9.0,2,Khá
2306,6.1,7.4,5.2,6.2,Trường THPT Mạc Đĩnh Chi,3.0,4,Trung bình
2307,9.7,9.8,9.9,9.8,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
2308,4.8,3.6,5.6,4.7,Trường THPT Lê Quý Đôn,5.0,1,Yếu
2309,6.6,5.5,6.0,6.0,Trường THCS Nguyễn Du,2.0,4,Trung bình
2310,7.3,6.5,7.2,7.0,Trường THCS Trần Văn Ơn,10.0,2,Khá
2311,8.4,8.5,9.0,8.6,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
2312,6.6,7.1,7.4,7.0,Trường THPT Mạc Đĩnh Chi,3.0,2,Khá
2313,6.3,7.2,7.2,6.9,Trường THCS Việt Úc,8.0,2,Khá
2314,5.6,5.7,6.0,5.8,Trường THPT Gia Định,17.0,4,Trung bình
2315,7.6,7.6,8.0,7.7,Trường THPT Trần Phú,7.0,2,Khá
2316,7.8,7.7,7.8,7.8,Trường THCS Nguyễn Hữu Thọ,14.0,3,Giỏi
2317,7.6,7.5,7.6,7.6,Trường THCS Nguyễn Hữu Thọ,14.0,3,Giỏi
2318,8.9,9.4,9.3,9.2,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
2319,9.0,8.6,8.4,8.7,Trường THCS Việt Úc,8.0,0,Xuất sắc
2320,9.2,9.0,9.7,9.3,Trường THPT Gia Định,17.0,0,Xuất sắc
2321,7.1,7.2,7.8,7.4,Trường THCS Hai Bà Trưng,12.0,3,Giỏi
2322,9.3,9.1,9.0,9.1,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
2323,9.0,8.7,9.1,8.9,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
2324,8.4,8.1,7.9,8.1,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
2325,6.4,5.9,6.1,6.1,Trường THCS Á Châu,6.0,4,Trung bình
2326,6.1,5.3,6.4,5.9,Trường THPT Lê Quý Đôn,5.0,4,Trung bình
2327,7.7,7.1,8.1,7.6,Trường THPT Nguyễn Thượng Hiền,19.0,3,Giỏi
2328,8.7,8.2,8.3,8.4,Trường THPT Nguyễn Thị Minh Khai,15.0,3,Giỏi
2329,8.6,8.5,9.0,8.7,Trường THCS Trần Văn Ơn,10.0,0,Xuất sắc
2330,8.8,8.7,8.7,8.7,Trường THPT Gia Định,17.0,0,Xuất sắc
2331,7.9,7.3,7.8,7.7,Trường THPT Trần Phú,7.0,2,Khá
2332,6.2,6.2,5.9,6.1,Trường THCS Bạch Đằng,4.0,4,Trung bình
2333,9.2,9.1,9.2,9.2,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
2334,7.8,7.5,8.2,7.8,Trường THCS Đoàn Thị Điểm,0.0,2,Khá
2335,8.3,7.9,8.2,8.1,Trường THPT Bùi Thị Xuân,11.0,3,Giỏi
2336,7.4,6.5,7.7,7.2,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
2337,8.2,8.2,8.2,8.2,Trường THPT Phú Nhuận,9.0,3,Giỏi
2338,8.8,8.6,8.7,8.7,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
2339,8.1,8.0,8.3,8.1,Trường THCS Colette,16.0,3,Giỏi
2340,8.6,8.3,8.8,8.6,Trường THCS Colette,16.0,0,Xuất sắc
2341,7.2,7.3,7.8,7.4,Trường THCS Nguyễn Du,2.0,2,Khá
2342,9.9,9.6,9.9,9.8,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
2343,8.7,8.9,9.4,9.0,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
2344,8.3,8.1,8.0,8.1,Trường THCS Hai Bà Trưng,12.0,3,Giỏi
2345,6.9,6.6,7.3,6.9,Trường THPT Phú Nhuận,9.0,2,Khá
2346,6.5,6.0,6.0,6.2,Trường THCS Nguyễn Du,2.0,4,Trung bình
2347,5.6,5.6,6.9,6.0,THPT Nguyễn Hữu Cầu,1.0,4,Trung bình
2348,6.7,5.9,6.3,6.3,Trường THPT Nguyễn Hữu Huân,13.0,4,Trung bình
2349,9.8,9.6,9.9,9.8,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
2350,8.8,8.6,9.0,8.8,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
2351,6.9,6.1,6.4,6.5,Trường THCS Nguyễn Hữu Thọ,14.0,4,Trung bình
2352,8.8,8.6,9.0,8.8,Trường THCS Trần Văn Ơn,10.0,0,Xuất sắc
2353,7.1,6.7,7.5,7.1,Trường THCS Việt Úc,8.0,2,Khá
2354,7.3,7.1,7.3,7.2,Trường THCS Bạch Đằng,4.0,2,Khá
2355,8.5,8.7,8.7,8.6,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
2356,8.2,7.9,8.5,8.2,Trường THCS Trần Văn Ơn,10.0,3,Giỏi
2357,9.7,9.8,10.0,9.8,Trường THPT Gia Định,17.0,0,Xuất sắc
2358,7.6,7.6,8.5,7.9,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
2359,6.8,7.3,7.1,7.1,Trường THPT Bùi Thị Xuân,11.0,2,Khá
2360,7.1,7.0,7.3,7.1,Trường THCS Đoàn Thị Điểm,0.0,2,Khá
2361,6.0,6.5,6.0,6.2,Trường THPT Nguyễn Hữu Huân,13.0,4,Trung bình
2362,9.2,8.7,9.4,9.1,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
2363,6.0,5.7,5.6,5.8,Trường THCS Việt Úc,8.0,4,Trung bình
2364,7.3,6.7,7.3,7.1,Trường THCS Hai Bà Trưng,12.0,3,Giỏi
2365,8.0,8.1,8.5,8.2,Trường THCS Trần Văn Ơn,10.0,3,Giỏi
2366,7.8,7.2,7.4,7.5,Trường THCS Colette,16.0,3,Giỏi
2367,8.2,8.8,8.7,8.6,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
2368,8.4,8.9,8.6,8.6,THPT Nguyễn Hữu Cầu,1.0,2,Khá
2369,7.3,6.9,7.3,7.2,Trường THCS Việt Úc,8.0,2,Khá
2370,8.2,8.1,8.4,8.2,Trường THCS Nguyễn Hữu Thọ,14.0,3,Giỏi
2371,9.2,9.1,9.4,9.2,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
2372,6.0,5.3,6.1,5.8,Trường THPT Mạc Đĩnh Chi,3.0,4,Trung bình
2373,8.6,8.8,8.9,8.8,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
2374,7.1,7.7,7.8,7.5,Trường THPT Gia Định,17.0,3,Giỏi
2375,8.5,8.6,9.0,8.7,Trường THPT Phú Nhuận,9.0,0,Xuất sắc
2376,9.8,9.8,9.9,9.8,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
2377,7.3,7.8,7.7,7.6,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
2378,8.2,8.2,8.4,8.3,Trường THCS Trần Văn Ơn,10.0,3,Giỏi
2379,8.7,8.3,9.1,8.7,Trường THCS Colette,16.0,0,Xuất sắc
2380,6.9,6.6,6.6,6.7,Trường THCS Bạch Đằng,4.0,4,Trung bình
2381,8.0,7.5,7.8,7.8,Trường THCS Á Châu,6.0,2,Khá
2382,9.6,8.6,9.7,9.3,Trường THCS Việt Úc,8.0,0,Xuất sắc
2383,8.7,8.8,9.0,8.8,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
2384,7.5,7.6,8.1,7.7,Trường THPT Nguyễn Thị Minh Khai,15.0,3,Giỏi
2385,8.3,8.3,8.3,8.3,Trường THPT Gia Định,17.0,3,Giỏi
2386,6.8,6.9,7.1,6.9,Trường THCS Nguyễn Du,2.0,2,Khá
2387,7.7,7.1,7.6,7.5,Trường THCS Trần Văn Ơn,10.0,2,Khá
2388,8.4,8.4,8.9,8.6,Trường THPT Nguyễn Hữu Huân,13.0,0,Xuất sắc
2389,9.3,8.6,9.6,9.2,Trường THCS Colette,16.0,0,Xuất sắc
2390,8.4,8.1,7.8,8.1,Trường THCS Nguyễn Hữu Thọ,14.0,3,Giỏi
2391,8.4,8.1,8.6,8.4,Trường THCS Nguyễn Hữu Thọ,14.0,3,Giỏi
2392,7.5,7.5,7.6,7.5,Trường THPT Lê Quý Đôn,5.0,2,Khá
2393,6.4,6.6,7.0,6.7,Trường THPT Trần Phú,7.0,4,Trung bình
2394,9.1,9.0,9.3,9.1,Trường THPT Gia Định,17.0,0,Xuất sắc
2395,7.3,7.0,6.7,7.0,Trường THPT Nguyễn Hữu Huân,13.0,3,Giỏi
2396,8.6,8.5,8.8,8.6,Trường THPT Gia Định,17.0,0,Xuất sắc
2397,7.5,7.2,8.1,7.6,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
2398,9.8,9.7,9.9,9.8,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
2399,8.8,9.0,9.4,9.1,Trường THPT Gia Định,17.0,0,Xuất sắc
2400,4.1,3.7,5.1,4.3,Trường THCS Nguyễn Du,2.0,1,Yếu
2401,8.7,8.6,9.1,8.8,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
2402,9.0,9.0,9.5,9.2,Trường THPT Gia Định,17.0,0,Xuất sắc
2403,8.5,8.3,8.2,8.3,Trường THPT Phú Nhuận,9.0,3,Giỏi
2404,6.4,5.6,6.7,6.2,Trường THCS Trần Văn Ơn,10.0,4,Trung bình
2405,8.2,7.9,8.3,8.1,Trường THPT Nguyễn Thị Minh Khai,15.0,3,Giỏi
2406,7.6,7.2,7.6,7.5,Trường THPT Bùi Thị Xuân,11.0,3,Giỏi
2407,5.8,6.2,5.5,5.8,Trường THCS Đoàn Thị Điểm,0.0,4,Trung bình
2408,8.8,8.6,9.2,8.9,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
2409,8.0,8.4,7.9,8.1,Trường THPT Nguyễn Hữu Huân,13.0,3,Giỏi
2410,3.3,4.6,4.7,4.2,Trường THPT Mạc Đĩnh Chi,3.0,1,Yếu
2411,8.4,7.8,7.9,8.0,Trường THPT Phú Nhuận,9.0,3,Giỏi
2412,8.4,7.9,8.4,8.2,Trường THCS Đoàn Thị Điểm,0.0,2,Khá
2413,7.3,6.6,7.3,7.1,Trường THPT Nguyễn Thượng Hiền,19.0,3,Giỏi
2414,6.5,6.9,7.4,6.9,Trường THPT Mạc Đĩnh Chi,3.0,2,Khá
2415,7.8,7.3,7.9,7.7,Trường THPT Nguyễn Thị Minh Khai,15.0,3,Giỏi
2416,8.0,7.9,8.3,8.1,Trường THCS Á Châu,6.0,2,Khá
2417,8.4,8.8,9.0,8.7,Trường THPT Gia Định,17.0,0,Xuất sắc
2418,8.9,9.0,9.4,9.1,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
2419,8.1,8.1,7.9,8.0,Trường THCS Việt Úc,8.0,2,Khá
2420,8.7,8.7,8.7,8.7,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
2421,8.0,7.6,7.4,7.7,Trường THPT Nguyễn Hữu Huân,13.0,3,Giỏi
2422,4.9,3.8,6.1,4.9,Trường THCS Bạch Đằng,4.0,1,Yếu
2423,5.3,5.2,6.1,5.5,THPT Nguyễn Hữu Cầu,1.0,4,Trung bình
2424,7.0,6.8,7.2,7.0,Trường THPT Bùi Thị Xuân,11.0,2,Khá
2425,8.1,8.1,8.2,8.1,Trường THCS Hai Bà Trưng,12.0,3,Giỏi
2426,7.2,6.9,7.7,7.3,Trường THCS Bạch Đằng,4.0,2,Khá
2427,7.1,7.3,6.8,7.1,Trường THCS Nguyễn Du,2.0,2,Khá
2428,9.2,8.9,9.5,9.2,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
2429,6.1,5.7,6.0,5.9,Trường THCS Nguyễn Du,2.0,4,Trung bình
2430,8.5,9.0,8.9,8.8,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
2431,8.7,8.8,8.6,8.7,Trường THCS Á Châu,6.0,0,Xuất sắc
2432,7.3,7.8,7.7,7.6,Trường THPT Mạc Đĩnh Chi,3.0,2,Khá
2433,4.4,5.7,5.0,5.0,Trường THCS Đoàn Thị Điểm,0.0,1,Yếu
2434,5.4,3.6,5.8,4.9,Trường THPT Lê Quý Đôn,5.0,1,Yếu
2435,7.6,7.4,7.6,7.5,Trường THPT Nguyễn Hữu Huân,13.0,3,Giỏi
2436,8.5,8.5,8.6,8.5,Trường THCS Á Châu,6.0,2,Khá
2437,9.9,9.8,9.9,9.9,Trường THCS Việt Úc,8.0,0,Xuất sắc
2438,6.9,7.0,7.0,7.0,Trường THPT Trần Phú,7.0,2,Khá
2439,8.7,8.3,8.4,8.5,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
2440,7.5,7.7,7.7,7.6,Trường THCS Hai Bà Trưng,12.0,3,Giỏi
2441,8.1,8.3,8.0,8.1,Trường THCS Việt Úc,8.0,2,Khá
2442,6.9,6.5,7.4,6.9,Trường THCS Bạch Đằng,4.0,2,Khá
2443,7.2,6.8,7.1,7.0,Trường THCS Bạch Đằng,4.0,2,Khá
2444,7.8,7.7,8.0,7.8,Trường THCS Bạch Đằng,4.0,2,Khá
2445,8.9,8.8,8.8,8.8,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
2446,8.8,8.6,8.6,8.7,Trường THCS Hai Bà Trưng,12.0,0,Xuất sắc
2447,5.8,5.5,6.4,5.9,Trường THPT Nguyễn Thị Minh Khai,15.0,4,Trung bình
2448,7.7,7.7,8.2,7.9,Trường THCS Trần Văn Ơn,10.0,3,Giỏi
2449,3.8,2.3,5.2,3.8,Trường THCS Nguyễn Du,2.0,1,Yếu
2450,2.8,3.3,4.4,3.5,Trường THCS Đoàn Thị Điểm,0.0,1,Yếu
2451,8.3,8.4,7.9,8.2,Trường THPT Trần Phú,7.0,2,Khá
2452,7.1,7.1,7.2,7.1,Trường THPT Lê Quý Đôn,5.0,2,Khá
2453,3.7,4.0,5.0,4.2,Trường THCS Nguyễn Du,2.0,1,Yếu
2454,8.8,9.2,9.5,9.2,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
2455,6.7,6.9,6.6,6.7,Trường THPT Mạc Đĩnh Chi,3.0,4,Trung bình
2456,8.5,8.2,8.1,8.3,Trường THCS Colette,16.0,3,Giỏi
2457,4.8,4.0,6.2,5.0,Trường THCS Đoàn Thị Điểm,0.0,1,Yếu
2458,7.3,6.9,7.4,7.2,Trường THCS Đoàn Thị Điểm,0.0,2,Khá
2459,8.2,8.3,8.0,8.2,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
2460,9.7,9.7,10.0,9.8,Trường THPT Gia Định,17.0,0,Xuất sắc
2461,8.8,8.8,8.8,8.8,Trường THPT Gia Định,17.0,0,Xuất sắc
2462,7.6,7.4,8.4,7.8,Trường THPT Trần Phú,7.0,2,Khá
2463,5.9,6.4,6.4,6.2,Trường THPT Mạc Đĩnh Chi,3.0,4,Trung bình
2464,9.8,9.7,9.9,9.8,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
2465,6.0,6.5,6.3,6.3,Trường THPT Nguyễn Hữu Huân,13.0,4,Trung bình
2466,8.3,8.4,8.1,8.3,Trường THCS Việt Úc,8.0,2,Khá
2467,5.5,5.8,5.8,5.7,Trường THPT Mạc Đĩnh Chi,3.0,4,Trung bình
2468,8.1,8.1,8.4,8.2,Trường THPT Gia Định,17.0,3,Giỏi
2469,6.6,6.9,7.3,6.9,Trường THPT Mạc Đĩnh Chi,3.0,2,Khá
2470,8.3,7.8,8.1,8.1,Trường THPT Phú Nhuận,9.0,3,Giỏi
2471,8.4,7.9,8.2,8.2,Trường THPT Lê Quý Đôn,5.0,2,Khá
2472,6.3,6.2,5.8,6.1,Trường THCS Bạch Đằng,4.0,4,Trung bình
2473,7.4,7.4,8.0,7.6,Trường THPT Nguyễn Thượng Hiền,19.0,3,Giỏi
2474,9.8,9.9,10.0,9.9,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
2475,8.1,7.9,8.2,8.1,Trường THCS Bạch Đằng,4.0,2,Khá
2476,5.5,5.8,6.7,6.0,Trường THCS Bạch Đằng,4.0,4,Trung bình
2477,8.4,8.2,8.1,8.2,Trường THCS Trần Văn Ơn,10.0,3,Giỏi
2478,9.0,8.8,8.6,8.8,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
2479,9.3,8.8,9.2,9.1,Trường THCS Việt Úc,8.0,0,Xuất sắc
2480,3.2,3.4,5.0,3.9,Trường THCS Đoàn Thị Điểm,0.0,1,Yếu
2481,6.8,5.9,5.9,6.2,Trường THPT Lê Quý Đôn,5.0,4,Trung bình
2482,8.0,8.1,8.2,8.1,Trường THCS Hai Bà Trưng,12.0,3,Giỏi
2483,7.0,7.0,6.9,7.0,Trường THCS Đoàn Thị Điểm,0.0,2,Khá
2484,8.1,8.3,8.1,8.2,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
2485,7.6,7.3,7.7,7.5,Trường THPT Nguyễn Hữu Huân,13.0,3,Giỏi
2486,5.0,3.5,6.2,4.9,Trường THCS Nguyễn Du,2.0,1,Yếu
2487,7.7,7.4,8.2,7.8,Trường THCS Trần Văn Ơn,10.0,3,Giỏi
2488,7.5,7.6,7.5,7.5,Trường THPT Trần Phú,7.0,2,Khá
2489,5.5,5.0,6.1,5.5,Trường THCS Đoàn Thị Điểm,0.0,4,Trung bình
2490,9.3,9.2,9.1,9.2,Trường THPT Nguyễn Hữu Huân,13.0,0,Xuất sắc
2491,8.6,8.6,8.7,8.6,Trường THCS Hai Bà Trưng,12.0,0,Xuất sắc
2492,7.4,7.3,7.3,7.3,Trường THCS Bạch Đằng,4.0,2,Khá
2493,6.5,5.9,6.8,6.4,Trường THPT Mạc Đĩnh Chi,3.0,4,Trung bình
2494,7.1,6.9,7.0,7.0,Trường THPT Nguyễn Thị Minh Khai,15.0,3,Giỏi
2495,8.0,7.2,8.2,7.8,Trường THCS Bạch Đằng,4.0,2,Khá
2496,7.8,7.9,7.6,7.8,Trường THPT Phú Nhuận,9.0,2,Khá
2497,7.0,6.9,7.5,7.1,Trường THCS Trần Văn Ơn,10.0,2,Khá
2498,5.7,5.2,6.0,5.6,Trường THPT Lê Quý Đôn,5.0,4,Trung bình
2499,6.7,6.9,7.2,6.9,Trường THCS Nguyễn Hữu Thọ,14.0,3,Giỏi
2500,9.8,9.8,9.8,9.8,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
2501,7.7,7.4,7.6,7.6,Trường THCS Nguyễn Du,2.0,2,Khá
2502,8.0,8.2,8.2,8.1,Trường THCS Colette,16.0,3,Giỏi
2503,7.1,6.7,7.4,7.1,Trường THCS Trần Văn Ơn,10.0,2,Khá
2504,4.3,2.6,4.1,3.7,Trường THCS Đoàn Thị Điểm,0.0,1,Yếu
2505,8.8,9.1,9.4,9.1,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
